"Gencode Id","Gene Symbol","Median TPM"
"ENSG00000248527.1","MTATP6P1","6663.4"
"ENSG00000087086.14","FTL","2452.9"
"ENSG00000131095.12","GFAP","1638.7"
"ENSG00000197971.14","MBP","1477.1"
"ENSG00000123560.13","PLP1","1337.1"
"ENSG00000225630.1","MTND2P28","1320.5"
"ENSG00000075624.13","ACTB","1107.3"
"ENSG00000167996.15","FTH1","997.2"
"ENSG00000205542.10","TMSB4X","940.5"
"ENSG00000107317.12","PTGDS","940.1"
"ENSG00000034510.5","TMSB10","903.9"
"ENSG00000111640.14","GAPDH","893.6"
"ENSG00000143933.16","CALM2","879.8"
"ENSG00000112306.7","RPS12","758.5"
"ENSG00000087250.8","MT3","753.8"
"ENSG00000231500.6","RPS18","733.1"
"ENSG00000120885.21","CLU","729.7"
"ENSG00000142534.6","RPS11","729.1"
"ENSG00000180354.15","MTURN","714.1"
"ENSG00000089220.4","PEBP1","687.8"
"ENSG00000166165.12","CKB","667.6"
"ENSG00000142541.16","RPL13A","638.4"
"ENSG00000130203.9","APOE","611.9"
"ENSG00000154146.12","NRGN","565.6"
"ENSG00000184009.9","ACTG1","551.6"
"ENSG00000198668.10","CALM1","538.2"
"ENSG00000111775.2","COX6A1","526.7"
"ENSG00000160781.15","PAQR6","524.1"
"ENSG00000162734.12","PEA15","517.3"
"ENSG00000160014.16","CALM3","517.2"
"ENSG00000108298.9","RPL19","511.3"
"ENSG00000160307.9","S100B","510.6"
"ENSG00000137818.11","RPLP1","510.5"
"ENSG00000156508.17","EEF1A1","497.2"
"ENSG00000163682.15","RPL9","481.0"
"ENSG00000118181.10","RPS25","477.6"
"ENSG00000132639.12","SNAP25","473.5"
"ENSG00000080824.18","HSP90AA1","470.0"
"ENSG00000165795.23","NDRG2","468.5"
"ENSG00000165802.21","NSMF","462.4"
"ENSG00000168309.16","FAM107A","457.1"
"ENSG00000236824.2","BCYRN1","454.7"
"ENSG00000135916.15","ITM2C","446.1"
"ENSG00000101439.8","CST3","440.7"
"ENSG00000100316.15","RPL3","428.6"
"ENSG00000109472.13","CPE","428.1"
"ENSG00000104904.12","OAZ1","427.5"
"ENSG00000178980.14","SELENOW","427.2"
"ENSG00000154277.12","UCHL1","421.9"
"ENSG00000021300.13","PLEKHB1","416.1"
"ENSG00000096384.19","HSP90AB1","415.7"
"ENSG00000108953.16","YWHAE","412.3"
"ENSG00000074800.13","ENO1","411.2"
"ENSG00000197746.13","PSAP","406.6"
"ENSG00000167552.13","TUBA1A","403.4"
"ENSG00000147403.16","RPL10","401.0"
"ENSG00000143947.13","RPS27A","401.0"
"ENSG00000070808.15","CAMK2A","397.8"
"ENSG00000177954.11","RPS27","397.2"
"ENSG00000136942.14","RPL35","392.7"
"ENSG00000152583.12","SPARCL1","391.5"
"ENSG00000167658.15","EEF2","389.1"
"ENSG00000105193.8","RPS16","379.7"
"ENSG00000099194.5","SCD","377.7"
"ENSG00000109846.7","CRYAB","374.2"
"ENSG00000161016.17","RPL8","371.6"
"ENSG00000168653.10","NDUFS5","370.8"
"ENSG00000178531.5","CTXN1","369.2"
"ENSG00000122026.10","RPL21","364.0"
"ENSG00000189058.8","APOD","357.9"
"ENSG00000108387.14","SEPT4","349.9"
"ENSG00000137154.12","RPS6","348.1"
"ENSG00000177600.8","RPLP2","345.2"
"ENSG00000114391.12","RPL24","341.6"
"ENSG00000254772.9","EEF1G","339.4"
"ENSG00000127585.11","FBXL16","337.8"
"ENSG00000122406.12","RPL5","329.8"
"ENSG00000172809.12","RPL38","328.1"
"ENSG00000166681.13","BEX3","326.8"
"ENSG00000110700.6","RPS13","325.9"
"ENSG00000109107.13","ALDOC","325.1"
"ENSG00000104888.9","SLC17A7","321.0"
"ENSG00000107130.9","NCS1","308.9"
"ENSG00000109475.16","RPL34","307.5"
"ENSG00000174444.14","RPL4","305.3"
"ENSG00000105290.11","APLP1","304.5"
"ENSG00000123349.13","PFDN5","301.6"
"ENSG00000168028.13","RPSA","297.9"
"ENSG00000175130.6","MARCKSL1","296.7"
"ENSG00000111716.12","LDHB","294.6"
"ENSG00000149925.17","ALDOA","291.5"
"ENSG00000078804.12","TP53INP2","290.0"
"ENSG00000142192.20","APP","288.5"
"ENSG00000105701.15","FKBP8","286.2"
"ENSG00000172270.18","BSG","285.6"
"ENSG00000156976.16","EIF4A2","281.5"
"ENSG00000265681.7","RPL17","278.2"
"ENSG00000148303.16","RPL7A","273.0"
"ENSG00000140988.15","RPS2","272.6"
"ENSG00000176340.3","COX8A","270.4"
