"Gencode Id","Gene Symbol","Median TPM"
"ENSG00000248527.1","MTATP6P1","7750.3"
"ENSG00000087086.14","FTL","2732.6"
"ENSG00000225630.1","MTND2P28","1590.9"
"ENSG00000130203.9","APOE","1510.3"
"ENSG00000154146.12","NRGN","1495.8"
"ENSG00000107317.12","PTGDS","1258.9"
"ENSG00000166165.12","CKB","1115.7"
"ENSG00000120885.21","CLU","1097.2"
"ENSG00000131771.13","PPP1R1B","1054.6"
"ENSG00000123560.13","PLP1","995.4"
"ENSG00000075624.13","ACTB","970.7"
"ENSG00000087250.8","MT3","969.6"
"ENSG00000034510.5","TMSB10","967.9"
"ENSG00000111640.14","GAPDH","908.5"
"ENSG00000197971.14","MBP","878.9"
"ENSG00000131095.12","GFAP","810.1"
"ENSG00000152583.12","SPARCL1","795.4"
"ENSG00000205542.10","TMSB4X","758.2"
"ENSG00000183036.10","PCP4","719.9"
"ENSG00000089220.4","PEBP1","714.3"
"ENSG00000142534.6","RPS11","699.2"
"ENSG00000143933.16","CALM2","697.2"
"ENSG00000167996.15","FTH1","691.4"
"ENSG00000231500.6","RPS18","687.8"
"ENSG00000121905.9","HPCA","677.6"
"ENSG00000142541.16","RPL13A","659.7"
"ENSG00000101439.8","CST3","653.3"
"ENSG00000112306.7","RPS12","639.6"
"ENSG00000109472.13","CPE","592.9"
"ENSG00000177954.11","RPS27","583.4"
"ENSG00000127585.11","FBXL16","568.7"
"ENSG00000165795.23","NDRG2","565.4"
"ENSG00000178531.5","CTXN1","547.9"
"ENSG00000184009.9","ACTG1","519.4"
"ENSG00000074800.13","ENO1","515.0"
"ENSG00000197746.13","PSAP","509.1"
"ENSG00000118181.10","RPS25","498.9"
"ENSG00000156508.17","EEF1A1","498.7"
"ENSG00000180354.15","MTURN","495.9"
"ENSG00000108298.9","RPL19","494.9"
"ENSG00000162734.12","PEA15","482.2"
"ENSG00000137818.11","RPLP1","481.9"
"ENSG00000135916.15","ITM2C","480.2"
"ENSG00000163682.15","RPL9","446.2"
"ENSG00000111775.2","COX6A1","442.4"
"ENSG00000100316.15","RPL3","429.3"
"ENSG00000176533.12","GNG7","422.3"
"ENSG00000018625.14","ATP1A2","422.0"
"ENSG00000105193.8","RPS16","419.4"
"ENSG00000183379.8","SYNDIG1L","418.6"
"ENSG00000198668.10","CALM1","411.1"
"ENSG00000021300.13","PLEKHB1","401.1"
"ENSG00000168653.10","NDUFS5","394.6"
"ENSG00000080824.18","HSP90AA1","392.1"
"ENSG00000147403.16","RPL10","390.3"
"ENSG00000167658.15","EEF2","382.5"
"ENSG00000111716.12","LDHB","380.6"
"ENSG00000109107.13","ALDOC","380.0"
"ENSG00000110436.11","SLC1A2","378.2"
"ENSG00000108953.16","YWHAE","369.2"
"ENSG00000136942.14","RPL35","368.5"
"ENSG00000160014.16","CALM3","368.4"
"ENSG00000104904.12","OAZ1","364.6"
"ENSG00000114391.12","RPL24","363.3"
"ENSG00000160307.9","S100B","356.5"
"ENSG00000156298.12","TSPAN7","355.0"
"ENSG00000168309.16","FAM107A","354.8"
"ENSG00000143947.13","RPS27A","352.6"
"ENSG00000254772.9","EEF1G","352.1"
"ENSG00000020129.15","NCDN","349.4"
"ENSG00000177600.8","RPLP2","346.2"
"ENSG00000102109.8","PCSK1N","339.3"
"ENSG00000174444.14","RPL4","338.9"
"ENSG00000168028.13","RPSA","337.9"
"ENSG00000172270.18","BSG","330.6"
"ENSG00000176340.3","COX8A","330.5"
"ENSG00000167552.13","TUBA1A","329.1"
"ENSG00000159176.13","CSRP1","328.1"
"ENSG00000161016.17","RPL8","326.9"
"ENSG00000122406.12","RPL5","323.9"
"ENSG00000166033.11","HTRA1","321.5"
"ENSG00000108387.14","SEPT4","319.4"
"ENSG00000096384.19","HSP90AB1","317.1"
"ENSG00000109475.16","RPL34","315.6"
"ENSG00000137154.12","RPS6","314.5"
"ENSG00000178980.14","SELENOW","314.4"
"ENSG00000135821.17","GLUL","313.6"
"ENSG00000063180.8","CA11","312.5"
"ENSG00000122026.10","RPL21","311.9"
"ENSG00000155980.11","KIF5A","311.5"
"ENSG00000189058.8","APOD","309.8"
"ENSG00000140988.15","RPS2","304.1"
"ENSG00000160781.15","PAQR6","301.5"
"ENSG00000149925.17","ALDOA","301.3"
"ENSG00000105701.15","FKBP8","300.5"
"ENSG00000125356.6","NDUFA1","299.0"
"ENSG00000166681.13","BEX3","297.0"
"ENSG00000067225.17","PKM","290.8"
"ENSG00000110700.6","RPS13","290.6"
"ENSG00000123349.13","PFDN5","287.5"
