,p value
NAT1,0.654457279
AAMP,0.90425124
AARS1,0.924240535
ABCB7,0.219537153
ABCF1,0.34000516
ABL1,0.713111536
ABR,0.37123624
ACAA1,0.516739338
ACACA,0.885962971
ACADM,0.504898893
ACADS,0.664868568
ACADSB,0.297980699
ACADVL,0.865608837
ACAT1,0.137861465
ACAT2,0.17639246
ACLY,0.854091089
ACO1,0.055739227
ACO2,0.61047597
ACOX1,0.772727173
ACP1,0.312053475
ACP2,0.778123782
ACP5,0.03981522
ACTA2,0.120407278
ACTB,0.888134899
ACTG1,0.797048837
ACTN4,0.077744661
ACTL6A,0.837238128
ACTN1,0.838896132
ACY1,0.970855332
ACYP1,0.356842806
ACYP2,0.995410089
ADA,0.539403992
ADAM8,0.763221619
ADAM10,0.984139221
ADAR,0.68069523
ADCY1,0.661521791
ADCY3,0.511027995
ADCY7,0.057357446
ADD1,0.964711513
ADD3,0.993297792
PLIN2,0.901187379
ADH5,0.482274157
ADK,0.535614296
ADM,0.928728585
ADORA2A,0.291785572
ADPRH,0.502008048
PARP1,0.86052468
PARP4,0.098237621
GRK2,0.253216486
GRK3,0.36029043
ADSL,0.990888265
ADSS2,0.473614155
AP2A1,0.386785984
AP2A2,0.203111331
AP1B1,0.156603415
AP2B1,0.904430991
AP1G1,0.720339134
TLE5,0.205474603
AFG3L1P,0.827153833
AGA,0.396017582
AGL,0.996427985
JAG1,0.449413533
AHCY,0.70872478
AHR,0.718950016
AIF1,0.986538172
CRYBG1,0.006073562
AK2,0.701490273
AK4,0.850964503
AKT1,0.534030741
AKT2,0.252247889
ALAD,0.112907241
ALAS1,0.351942169
ALCAM,0.757305127
ALDH1B1,0.161222644
ALDH9A1,0.00874067
ALDH3A2,0.074846804
ABCD2,0.567214015
ALDOA,0.164843445
ALDOC,0.973939032
AKR1B1,0.356363868
ALOX5,0.723350863
ALOX5AP,0.255433176
AMD1,0.45838486
AMFR,0.622157608
AMPD2,0.103594402
AMPD3,0.936358866
BIN1,0.320437443
AMY2B,0.430104926
SLC25A4,0.684382289
SLC25A5,0.920940868
SLC25A6,0.548527661
ANXA2,0.91147023
ANXA4,0.429491579
ANXA5,0.295464393
ANXA6,0.433854734
ANXA7,0.021825508
ANXA11,0.822800161
APAF1,0.643757666
NUDT2,0.523299348
APC,0.755946808
APEH,0.571308726
APEX1,0.315935863
BIRC2,0.280206786
BIRC3,0.852881113
XIAP,0.464877811
BIRC5,0.231004302
APLP2,0.762635282
APP,0.455499353
APRT,0.398470145
FAS,0.957946747
ARAF,0.769809567
ARCN1,0.264521963
ARF1,0.626164413
ARF3,0.537272654
ARF4,0.974812707
ARF5,0.694998826
ARF6,0.47091438
RHOA,0.75269442
RHOB,0.404717062
RHOC,0.621792473
RHOG,0.616408687
ARHGAP1,0.188552135
ARHGAP4,0.142864961
ARHGAP5,0.335446441
ARHGDIA,0.418664251
ARHGDIB,0.792631955
RHOH,0.468772708
ARL1,0.803661292
ARL2,0.625588804
ARL3,0.252946008
ARNT,0.87590582
ARNTL,0.720739651
ARRB2,0.044499286
ARSA,0.904925799
ARSB,0.582822109
STS,0.200291583
ASAH1,0.115769529
ASCL1,0.883536794
ASL,0.291871846
GET3,0.3965424
ASNS,0.361744359
ASPH,0.567098041
ATF1,0.338989521
ATF3,0.199287899
ATF4,0.158936446
ATIC,0.15472724
ATM,0.587675013
ATOX1,0.216197456
ATP1A1,0.200791395
ATP1B1,0.908583863
ATP1B3,0.884139996
FXYD2,0.80375565
ATP2A2,0.684269889
ATP2A3,0.232793401
ATP2B1,0.955400904
ATP5F1A,0.871049041
ATP5F1B,0.34186081
ATP5F1C,0.93574779
ATP5F1D,0.838924759
ATP5F1E,0.59779988
ATP5PB,0.96809564
ATP5MC1,0.706657503
ATP5MC2,0.683534679
ATP5MC3,0.874359423
ATP5ME,0.568318685
ATP5PF,0.31214076
ATP6V1A,0.353083799
ATP6V1B2,0.586343772
ATP6V0C,0.347622083
ATP6V1C1,0.774269159
ATP6V1E1,0.982247656
ATP6V0B,0.11460455
ATP6V0A1,0.720011733
ATP6AP1,0.27358215
ATP7A,0.364159434
ATP5PO,0.754532365
ATR,0.401060333
ATRX,0.029637844
AUH,0.329721935
AUP1,0.208126683
B2M,0.82147531
BACH1,0.849664329
BAD,0.785670017
BAG1,0.485606596
BAK1,0.265431967
BARD1,0.266912999
BAX,0.307688849
BBS1,0.262427979
BBS2,0.274509928
BBS4,0.065722452
BCAT1,0.365693564
BCAT2,0.733933425
BCKDHA,0.057074252
BCKDHB,0.241998654
BCL2,0.787431223
BCL2A1,0.730706582
BCL2L1,0.688233336
BCL2L2,0.04620901
BCL7A,0.801966249
TNFRSF17,0.515313942
BCR,0.889545651
BCS1L,0.449941227
BCYRN1,0.850829728
BCYRN1P1,0.642762779
BDH1,0.737076014
BID,0.90843716
BIK,0.020129227
PRDM1,0.660358009
BLK,0.868385639
BLM,0.623382434
BLMH,0.738372077
BLVRA,0.220299935
BLVRB,0.72571311
BMI1,0.780701452
BMPR1A,0.077304721
BMPR2,0.649318878
POLR3D,0.298932043
BNIP1,0.962689527
BNIP2,0.882520409
BNIP3,0.194235999
BNIP3L,0.464486416
DST,0.939245969
BPGM,0.760152573
BPHL,0.96629234
BRCA1,0.15652798
BRAF,0.652058235
BRCA2,0.878435343
ZFP36L1,0.162524581
ZFP36L2,0.534607828
BSG,0.67367059
BST2,0.231025157
BTF3,0.6986457
BTG1,0.62672451
BTK,0.314745018
BUB1,0.782346075
BUB1B,0.820706865
BYSL,0.586287007
TSPO,0.833010048
C1QBP,0.931836513
OSGIN2,0.917664656
VPS51,0.158216676
MRPL49,0.99346827
ZNHIT2,0.319984817
TMEM258,0.388660182
FMNL1,0.289599799
PTTG1IP,0.903229233
CFAP410,0.867681711
TMEM50B,0.324231834
CA2,0.911515013
SLC25A20,0.849611877
CAD,0.68643813
CALM1,0.87851604
CALM2,0.808328695
CALM3,0.782729936
CALR,0.79656012
CALU,0.626172676
