,Gene ID
0,NAT1
1,AAMP
2,AARS1
3,ABCB7
4,ABCF1
5,ABL1
6,ABR
7,ACAA1
8,ACACA
9,ACADM
10,ACADS
11,ACADSB
12,ACADVL
13,ACAT1
14,ACAT2
15,ACLY
16,ACO1
17,ACO2
18,ACOX1
19,ACP1
20,ACP2
21,ACP5
22,ACTA2
23,ACTB
24,ACTG1
25,ACTN4
26,ACTL6A
27,ACTN1
28,ACY1
29,ACYP1
30,ACYP2
31,ADA
32,ADAM8
33,ADAM10
34,ADAR
35,ADCY1
36,ADCY3
37,ADCY7
38,ADD1
39,ADD3
40,PLIN2
41,ADH5
42,ADK
43,ADM
44,ADORA2A
45,ADPRH
46,PARP1
47,PARP4
48,GRK2
49,GRK3
50,ADSL
51,ADSS2
52,AP2A1
53,AP2A2
54,AP1B1
55,AP2B1
56,AP1G1
57,TLE5
58,AFG3L1P
59,AGA
60,AGL
61,JAG1
62,AHCY
63,AHR
64,AIF1
65,CRYBG1
66,AK2
67,AK4
68,AKT1
69,AKT2
70,ALAD
71,ALAS1
72,ALCAM
73,ALDH1B1
74,ALDH9A1
75,ALDH3A2
76,ABCD2
77,ALDOA
78,ALDOC
79,AKR1B1
80,ALOX5
81,ALOX5AP
82,AMD1
83,AMFR
84,AMPD2
85,AMPD3
86,BIN1
87,AMY2B
88,SLC25A4
89,SLC25A5
90,SLC25A6
91,ANXA2
92,ANXA4
93,ANXA5
94,ANXA6
95,ANXA7
96,ANXA11
97,APAF1
98,NUDT2
99,APC
100,APEH
101,APEX1
102,BIRC2
103,BIRC3
104,XIAP
105,BIRC5
106,APLP2
107,APP
108,APRT
109,FAS
110,ARAF
111,ARCN1
112,ARF1
113,ARF3
114,ARF4
115,ARF5
116,ARF6
117,RHOA
118,RHOB
119,RHOC
120,RHOG
121,ARHGAP1
122,ARHGAP4
123,ARHGAP5
124,ARHGDIA
125,ARHGDIB
126,RHOH
127,ARL1
128,ARL2
129,ARL3
130,ARNT
131,ARNTL
132,ARRB2
133,ARSA
134,ARSB
135,STS
136,ASAH1
137,ASCL1
138,ASL
139,GET3
140,ASNS
141,ASPH
142,ATF1
143,ATF3
144,ATF4
145,ATIC
146,ATM
147,ATOX1
148,ATP1A1
149,ATP1B1
150,ATP1B3
151,FXYD2
152,ATP2A2
153,ATP2A3
154,ATP2B1
155,ATP5F1A
156,ATP5F1B
157,ATP5F1C
158,ATP5F1D
159,ATP5F1E
160,ATP5PB
161,ATP5MC1
162,ATP5MC2
163,ATP5MC3
164,ATP5ME
165,ATP5PF
166,ATP6V1A
167,ATP6V1B2
168,ATP6V0C
169,ATP6V1C1
170,ATP6V1E1
171,ATP6V0B
172,ATP6V0A1
173,ATP6AP1
174,ATP7A
175,ATP5PO
176,ATR
177,ATRX
178,AUH
179,AUP1
180,B2M
181,BACH1
182,BAD
183,BAG1
184,BAK1
185,BARD1
186,BAX
187,BBS1
188,BBS2
189,BBS4
190,BCAT1
191,BCAT2
192,BCKDHA
193,BCKDHB
194,BCL2
195,BCL2A1
196,BCL2L1
197,BCL2L2
198,BCL7A
199,TNFRSF17
200,BCR
201,BCS1L
202,BCYRN1
203,BCYRN1P1
204,BDH1
205,BID
206,BIK
207,PRDM1
208,BLK
209,BLM
210,BLMH
211,BLVRA
212,BLVRB
213,BMI1
214,BMPR1A
215,BMPR2
216,POLR3D
217,BNIP1
218,BNIP2
219,BNIP3
220,BNIP3L
221,DST
222,BPGM
223,BPHL
224,BRCA1
225,BRAF
226,BRCA2
227,ZFP36L1
228,ZFP36L2
229,BSG
230,BST2
231,BTF3
232,BTG1
233,BTK
234,BUB1
235,BUB1B
236,BYSL
237,TSPO
238,C1QBP
239,OSGIN2
240,VPS51
241,MRPL49
242,ZNHIT2
243,TMEM258
244,FMNL1
245,PTTG1IP
246,CFAP410
247,TMEM50B
248,CA2
249,SLC25A20
250,CAD
251,CALM1
252,CALM2
253,CALM3
254,CALR
255,CALU
256,CAMK4
257,CAMK2D
258,CAMK2G
259,CAMLG
260,CANX
261,CAPG
262,CAPN1
263,CAPN2
264,CAPNS1
265,CAPZA1
266,CAPZA2
267,CAST
268,CAPZB
269,CARS1
270,CASP1
271,CASP2
272,CASP3
273,CASP4
274,CASP6
275,CASP7
276,CASP8
277,CASP9
278,CASP10
279,CAT
280,RUNX3
281,CBFB
282,CBL
283,CBLB
284,SERPINH1
285,CBR1
286,KYAT1
287,KRIT1
288,CCNA2
289,CCNB1
290,CCNC
291,CCND2
292,CCND3
293,CCNE1
294,CCNF
295,CCNG1
296,CCNH
297,CCNT1
298,CCNT2
299,CCT6A
300,CD9
301,CD19
302,MS4A1
303,CD22
304,CD24P4
305,CD27
306,CD80
307,CD86
308,TNFRSF8
309,SCARB1
310,SCARB2
311,CD37
312,CD38
