Short Gene name,logFC,logCPM,PValue
HERC2,0.612542092,3.680324387,0.768997616
RPS14,-0.253465676,4.13310751,0.814362923
PCDHGB6,1.394181543,4.147990812,0.427882868
TUBGCP5,0.307246407,3.56236001,0.89286601
RSPO3,0.118891076,3.634055349,1
CYFIP1,1.031594221,4.234346532,0.553999104
NIPA2,-0.425793109,4.746988432,0.489241176
ELAVL2,-0.126766715,4.530666528,0.79260844
UBE3A,-0.003620021,5.069118979,1
SNHG5,-0.003823373,5.601603998,1
CTNNA2,0.427248903,4.941326074,0.780967089
NAP1L5,-0.116399359,4.255254199,0.8945213
MYL6B,-0.317011152,4.003461063,0.67431377
FLRT3,1.173590124,4.10431168,0.730885029
BOK,0.686934677,5.48671782,0.599508339
BHLHE40,0.294746545,4.007512749,0.922652095
VAT1,-0.039956082,4.064029138,0.834952757
TOX,0.541545679,4.520430141,0.745364171
TRIM13,0.22759663,3.589448715,1
EFNA2,-0.329668496,3.933106028,0.790360202
MED8,-0.187524428,8.699760113,0.684769951
ASPHD1,1.22759531,4.340593266,0.608025774
EVI5,-0.412970532,3.624663672,0.658209006
SNCG,0.187906829,7.18458251,1
SLC6A15,0.512364759,6.227198263,0.658408872
THAP2,-0.35628057,5.315794215,0.562823933
HYPK,0.039166497,3.892417268,1
SOX8,-0.591568637,3.081946959,0.56291806
PSME1,0.469578966,4.577847953,0.835695214
CCNI,0.16528605,4.442834071,1
NECAB2,0.356130464,10.45440033,0.74524612
TMPO,-0.131924518,3.41127127,0.922665312
RPS5,-1.055772181,3.312427,0.251724735
ZNF704,0.705045903,3.241616348,1
PLCG1,-0.2772654,4.845970299,0.612029823
PPP2R4,-0.105642905,3.511653785,1
SNORA22,0.621924509,4.229569194,0.764123812
CABLES2,-0.11557893,3.227302261,0.876200267
NANS,0.324342435,4.827239241,0.892455136
HECA,-0.079010126,5.014687132,0.844300741
SCG5,0.106472841,3.507542246,1
PCDHB15,-1.869401643,3.622716875,0.076772098
ACYP1,0.221953001,5.161500221,0.998919226
CNTN2,0.113905575,4.213223411,1
PQBP1,0.114281541,3.630910314,1
PDIA5,-0.318233369,4.305157426,0.625004296
MMP17,0.617655992,3.41191574,0.8854122
GPR153,1.00427676,3.177806269,0.699968523
HNRNPA1L2,-0.759167908,3.487869301,0.302938674
ETHE1,-2.3814962,6.904462406,0.120234473
PRKCE,-0.150659476,4.270623641,0.793621765
FAM118A,-0.188408007,5.018532658,0.747851205
MSH3,-0.594548144,5.476099804,0.316784451
NIT2,-0.517821742,3.666491047,0.572488413
ARF4,-0.273436906,5.020886112,0.653604763
SATB1,0.171749618,6.393124447,0.95610496
ANKRD36B,0.23764484,3.876596822,0.956840734
BCRP2,-0.404226017,4.588847792,0.516265151
RMDN3,0.337259267,4.217959062,0.841741938
RNF144A,-0.208358361,4.280520464,0.695488062
BCHE,-0.185872297,4.643366917,0.770515022
TUBG2,0.052359594,3.456082797,1
PGM3,-0.005541749,4.236687625,1
TMEM246,2.476073347,3.828112661,0.66681539
TUBA1B,-0.289981487,4.81917209,0.626978038
BLVRA,0.231166347,4.160933853,1
HERC2P9,0.684560993,4.631383244,0.655870381
SEMA6B,0.570615307,4.556115909,0.706088125
KLF13,-0.404727889,3.191377108,0.661145022
GBA2,-0.311597198,4.535983945,0.684164684
MUT,0.391308555,4.877690521,0.799558952
SRPRB,-0.220579464,7.25954146,0.645288967
CBR1,-0.2345106,5.381471269,0.682566278
COG5,-0.663451945,3.140184885,0.558555612
PNPLA4,-0.089750151,3.874861101,0.902996107
BLZF1,0.102560448,5.019248152,1
STAT1,-0.124309888,3.966746906,0.916673616
PRPS2,0.308314638,6.293124304,0.866104045
