Short Gene name,p_value w/o covariate,p_value w/ covariate
HERC2,0.721308085,0.100326026
RPS14,0.808836572,0.02661972
PCDHGB6,0.336299658,0.168294391
TUBGCP5,0.911576166,0.173434796
RSPO3,1,0.047714916
CYFIP1,0.451575429,0.204677584
NIPA2,0.493901354,0.47863267
ELAVL2,0.788009786,0.710012224
UBE3A,1,0.136767567
SNHG5,1,0.930797866
CTNNA2,0.766831077,0.108150616
NAP1L5,0.870408622,0.172481045
MYL6B,0.677366112,0.755736524
FLRT3,0.45814378,0.870087616
BOK,0.500372606,0.939173004
BHLHE40,0.920344652,0.224139511
VAT1,0.853565941,0.663656175
TOX,0.697815246,0.893806804
TRIM13,1,0.29858498
EFNA2,0.769039617,0.515252103
MED8,0.671325181,0.010797886
ASPHD1,0.302948186,0.075384783
EVI5,0.663796421,0.662124332
SNCG,0.903615836,0.130078462
SLC6A15,0.624478624,0.748281419
THAP2,0.537923312,0.116361821
HYPK,1,0.022533637
SOX8,0.569803502,0.280546942
PSME1,0.722634993,0.002661774
CCNI,1,1
NECAB2,0.706876967,0.018184713
TMPO,0.933261815,0.126937495
RPS5,0.264259536,0.000977348
ZNF704,1,0.497358552
PLCG1,0.612758783,0.861127043
PPP2R4,1,0.196824917
SNORA22,0.666851587,0.299788247
CABLES2,0.842008797,0.779376084
NANS,0.842940674,0.049569913
HECA,0.841539423,0.647741819
SCG5,1,1
PCDHB15,0.023208329,0.000185075
ACYP1,1,0.116814914
CNTN2,1,0.508423531
PQBP1,1,0.374679734
PDIA5,0.632594946,0.479165446
MMP17,0.883182246,1
GPR153,0.738733305,1
HNRNPA1L2,0.346591323,0.023522453
ETHE1,1.63E-06,0.003676359
PRKCE,0.847534467,0.268359478
FAM118A,0.747858781,0.205680368
MSH3,0.334007098,0.014105562
NIT2,0.590433392,0.106239666
ARF4,0.651971937,0.643922392
SATB1,0.942024227,0.106819439
ANKRD36B,0.979530746,0.990786496
BCRP2,0.494908917,0.104042946
RMDN3,0.834645885,0.892071793
RNF144A,0.698710098,0.971402973
BCHE,0.77066843,0.50144901
TUBG2,1,0.537479104
PGM3,1,0.207542997
TMEM246,0.141418085,0.245917947
TUBA1B,0.634342311,0.822133631
BLVRA,0.936730131,0.688192492
HERC2P9,0.629410491,0.550753737
SEMA6B,0.686827232,0.707662863
KLF13,0.663823395,0.213600717
GBA2,0.680909784,0.332426502
MUT,0.744176068,0.20938575
SRPRB,0.647543917,0.011018989
CBR1,0.676511553,0.123734114
COG5,0.569803502,0.082341815
PNPLA4,0.93258395,0.23141575
BLZF1,1,0.886012213
STAT1,0.895485051,1
PRPS2,0.7964276,0.719606141
HES5,0.769340786,0.680342326
PIGH,0.700659953,0.610164009
PCDHGC4,0.889188519,0.11951168
SNORA49,0.867966115,0.50535415
CSRNP3,0.703903354,0.364403383
RPS6KA3,1,0.127919921
MTMR10,0.754869539,0.786662087
NKAIN1,1,0.120312411
PARL,0.701575631,0.248848487
IFT20,1,0.126463492
NDRG1,0.237913291,0.368974896
ATP1A3,1,0.93426162
SREBF2,1,0.261096969
ZBTB46,0.765137562,0.792410012
EMC4,1,0.424113868
GPR137B,1,0.015392521
MTHFD1L,0.762385017,0.051924673
ZNF280C,0.225069579,0.001199178
ME3,0.570557253,0.500069402
TMED3,0.360869951,0.00168449
GRB10,0.039726796,0.107292081
