Short Gene Name,logFC,logCPM,PValue
DCTN5,0.245992179,4.868517084,0.319481936
COPS8,-0.259332427,5.183211703,0.135507715
TIMM9,0.091812488,5.713783979,0.60110429
BMPR2,-0.246583812,5.050338695,0.189829725
QDPR,0.06538724,5.570093435,0.66193155
TMEM151A,-0.66172187,8.776682854,0.011367436
AAMP,-0.431077879,7.248948911,0.119706525
SF3A3,0.007947913,6.316065797,0.945046778
C14orf159,-0.20419733,5.426362147,0.202534968
GPR89A,-0.3180733,10.5575884,0.014672742
MRRF,0.056184292,4.938579002,0.749196747
NBAS,-0.379050339,4.937386108,0.046282775
PPFIA4,0.004375897,5.11717855,1
LOC100288069,0.440323412,5.267699157,0.012978975
TMED7,0.319351759,5.119687079,0.09675598
PRKACB,0.534170701,5.578822788,0.000439155
COX17,-0.037145124,5.123147336,0.922755913
ACAD11,0.356089574,6.473138717,0.004018748
ACOX3,-0.047985712,4.760641531,0.817356084
EHD1,0.132628966,4.931871364,0.548906848
HSBP1,-0.263269783,4.973118343,0.144247954
CAP1,0.47406579,7.352776001,0.000735039
ZFHX4-AS1,-0.197026279,5.488789466,0.235434492
PHF12,0.096878278,5.11694536,0.601837513
LOC283070,0.123715347,6.356428691,0.400228352
DECR2,-0.253427425,5.283867465,0.129482389
LOC646719,-0.092913165,5.221628099,0.535255415
MNS1,-0.3050105,7.786650054,0.109610861
EI24,-0.078251814,5.787333951,0.554674722
PTTG1,-0.448677557,6.706805051,0.015297018
HSPA8,0.010088814,9.301382362,0.961062872
LDHB,-0.187376242,8.833563468,0.227091976
BAP1,-0.025263084,5.615745483,0.824797824
NAPA,0.051828344,5.590596584,0.73887164
SLC2A4RG,-0.441159691,5.031648071,0.042937818
ANAPC5,-0.072689053,5.528641432,0.622961593
RNF181,-0.406856084,7.02258032,0.001768871
TMEM147,0.175333689,7.004890965,0.287149869
CCDC124,-0.051640334,5.386261017,0.83299462
HILPDA,-0.309441804,5.229258722,0.109901553
ACOT8,-0.032025055,4.881449243,0.929744803
P4HA1,-0.216647974,6.805876636,0.233737731
SRP72,-0.149474267,5.542266144,0.279201758
SNORA18,-0.847970198,6.706211404,0.005328994
