Short Gene Name,PGP1,GM23716,GM23720,GM25256,BXS0110,BXS0111,BYS0112,BXS0114,BXS0115,BXS0116,BXS0117,902,14758x3,14799x1,14824x13,14763x7,14739x3,14765x2,14710x6,14781x16,14746x8
CDK5RAP1,3.3644846666666672,3.4594773333333335,3.7547293333333336,2.684129,3.503605,4.3063460000000005,3.8556803333333334,2.790217333333333,3.599398666666667,3.688352,3.6558053333333334,5.9028513333333335,5.0597330000000005,5.315117666666667,4.728545,4.6958296666666675,4.947737,5.933289666666667,2.784555,5.797536000000001,3.5056188335
TMEM246,9.831717,11.799205,6.104764333333333,7.752642666666667,6.184498333333333,5.324927333333333,5.259864666666666,6.187198333333334,7.460045666666666,7.763461333333333,6.972208333333334,5.5629756666666665,6.487813,4.449255,4.976488000000001,3.1986403333333335,2.882334,5.694037333333334,6.334495,6.938644666666666,5.0846096665000005
PKD1,5.504093999999999,8.018209,5.564331333333333,5.283909,6.484438666666667,4.151195333333333,7.420596333333333,5.008889333333333,3.2893823333333336,6.508348666666667,7.089656333333333,7.231759333333334,4.846325333333333,8.059598,5.3676379999999995,7.359943,8.450115,8.578719,9.19367,7.724416333333333,7.0754631665
EDEM1,3.7123326666666667,3.4297046666666664,3.6030316666666664,3.3577286666666666,3.065554,2.7891336666666664,4.349911333333334,3.953585666666667,2.075708,2.380954,3.86915,4.094496666666666,3.4344243333333337,6.866810666666667,5.141972333333334,3.8899303333333335,4.340783,4.882152666666666,2.511982,3.8013636666666666,2.681848
LSM11,6.715035333333333,9.956286666666665,3.657294333333333,4.347423666666667,3.014204,2.777229666666667,3.202659,4.761074666666667,3.5646953333333333,3.777514333333333,4.8980543333333335,3.2427053333333333,4.173912333333333,2.1494216666666666,3.8937303333333335,2.5241213333333334,1.9997675,2.7442963333333332,3.452511,5.039477000000001,2.1856916665000004
COL26A1,5.321522666666667,4.249626666666667,3.474407333333333,5.101506333333334,7.968330666666667,7.108979666666667,7.069576666666666,7.4020529999999995,6.1286716666666665,8.935489333333333,6.278882666666667,4.703595333333333,10.507308666666669,10.826621333333334,5.454702666666667,10.893960333333334,6.4540120000000005,10.562198666666667,5.333041,5.622736333333333,5.4015978335
CPSF6,15.845324999999997,14.421200666666666,11.093597,12.787000333333333,7.858868666666666,8.447656333333333,10.668916333333334,10.824873666666667,8.393837,10.762811,14.587555666666667,12.675642000000002,9.385153333333333,8.172594666666667,11.276009333333334,8.901076,5.938429,8.375476,12.356577,17.050872,9.748462335
DCTN5,12.543789666666667,13.825239666666667,9.830141,8.117835,7.850073000000001,6.952390333333333,9.163053666666668,9.142413,6.591022,7.182192666666666,11.591895666666668,10.557231666666667,8.068467333333333,9.172068000000001,9.240495666666666,8.749336666666666,8.0252875,9.910626333333333,6.491001,11.809732000000002,6.743448335
MRPS33,15.628807333333333,9.887486,13.761988,13.732942333333332,13.664476,10.614682666666667,13.478352000000001,18.065435333333333,11.588101000000002,8.512977333333334,13.043669333333332,13.337633000000002,20.660048,21.948037999999997,18.58026633333333,16.955607333333333,18.794372,16.612021000000002,10.147322,9.541130666666668,12.6157975
COPS8,27.403841666666665,24.374103333333334,18.846714666666667,23.472618333333333,16.395385666666666,17.181810666666667,20.223389666666666,23.991516,22.593669333333338,17.43213533333333,22.591562999999997,23.581959,30.165972999999997,21.464587666666663,22.790100999999996,17.746139666666668,17.890515,20.002714666666666,21.670875,21.429734999999997,16.469232335
TIMM9,11.954563333333335,10.353535,11.381628666666666,12.029691333333332,10.516189333333331,10.559254666666666,14.472921333333332,12.957151666666666,9.010520333333334,9.388348,14.171938666666668,13.165373,14.737317999999997,18.901415333333333,16.403875333333335,16.915829333333335,14.4809005,16.701813666666666,10.585773,12.132027666666668,9.430133665
BMPR2,8.331762,9.507433333333333,8.2971,8.881297,7.173864666666667,6.932565999999999,7.728857333333334,8.240472333333333,6.317916,6.056898333333334,7.054979333333333,7.142564666666666,5.619268000000001,7.719365333333333,6.544304,5.4497876666666665,4.623263,6.347371,6.532642,9.128048000000001,5.284618
C6orf211,6.844432666666666,4.347151666666666,5.339441333333333,5.537653,5.157523666666667,5.253608333333333,5.839546666666666,7.184878666666666,5.400231000000001,5.443973,8.144394666666667,6.406076,5.645800666666666,9.020243,5.1505106666666665,5.282363,5.5437535,5.966715,3.544936,4.841612666666666,4.6778438335
SMAP1,9.669830333333334,12.838334666666666,2.8982923333333335,5.6751776666666665,3.957111,2.601135333333333,4.114294,5.664490333333333,4.573888,5.890765333333333,10.031981333333333,8.985379666666667,6.0467613333333325,2.2520736666666665,6.4166,2.0008456666666667,0.8716225,3.2149676666666664,16.721588,16.223771666666668,3.2902193335
CENPB,17.490650333333335,19.783516666666667,18.565438333333333,17.763136000000003,24.009749,19.323578,20.067024999999997,16.798920999999996,17.039012,21.816782,18.492424333333332,19.911865000000002,23.414089333333333,23.351739,13.111133999999998,14.736682666666667,31.592533,22.361469999999997,13.904152,12.108658333333333,18.351567165
QDPR,6.612201,6.049937,5.148319666666667,5.336031999999999,4.775485666666667,4.241952666666667,5.303605666666667,5.398177666666666,3.8925769999999997,4.648842999999999,6.289402333333332,6.024248666666666,4.960693666666667,5.999869333333334,5.590777333333333,6.9896460000000005,5.7103625000000005,7.075901666666667,8.338711,7.1120606666666655,6.1313025
LEPROT,6.254924333333332,4.826688666666667,6.622524333333334,5.808492666666667,6.437962,6.540679333333333,7.1340580000000005,7.13803,4.906047333333333,4.387520333333334,3.971482333333333,4.612143333333333,8.577681,12.954693999999998,6.637376333333333,4.414250333333333,8.1941315,8.809024333333333,1.66496,2.6267473333333333,4.0478788335
ELP5,7.660753,7.985786999999999,6.8774109999999995,6.920576666666666,10.485546999999999,9.126561333333333,9.345756666666666,7.580752333333334,10.001798333333333,10.305539333333334,13.029115,10.286776333333334,8.798024333333332,9.212131999999999,5.768866333333334,9.592651000000002,12.490576,11.420267333333333,3.759436,8.259091,8.1685945
NR2F2,4.654029666666667,6.908751666666666,4.360653,4.9700093333333335,4.040336333333333,5.180927333333334,3.110148333333333,2.588214666666667,2.7451760000000003,3.265791333333333,3.682862333333334,1.6532523333333333,3.9557820000000006,3.3158776666666667,2.665354333333333,5.524344333333333,2.713641,6.154825333333332,0.727621,1.4652023333333333,2.5104235
MKLN1,6.527211,5.404899666666666,6.252059666666667,5.713062,4.776106333333333,4.135703333333333,6.345387333333332,6.766426666666667,4.757995,4.704763333333333,6.723187333333333,4.867784666666666,4.543493666666667,5.840877666666667,5.1529696666666664,5.383193333333334,4.418753000000001,5.136640666666667,4.095528,6.761426,4.2599823335
HIST1H4I,258.1819533333333,103.20985033333334,142.23293266666667,124.08927533333333,159.80771966666666,103.69435666666668,164.52522766666667,121.52198066666666,89.70763766666668,233.46707866666665,209.23039233333336,131.86457066666665,217.31100999999998,214.554487,268.66513100000003,369.42140966666665,325.514311,291.557654,65.06891,104.73816533333333,449.32555415
