Short Gene name,p_value w/o covariate,p_value w/ covariate
HERC2,0.159807123,0.194036801
RPS14,0.031601987,0.023407876
PCDHGB6,0.198038188,0.248517094
TUBGCP5,0.206169892,0.18830854
RSPO3,0.055349138,0.054110057
CYFIP1,0.077065002,0.130393816
NIPA2,0.319765467,0.310299401
ELAVL2,0.656891853,0.627036787
UBE3A,0.068864157,0.118543433
SNHG5,0.835805639,0.8352238
CTNNA2,0.085797136,0.095370371
NAP1L5,0.242207176,0.169813155
MYL6B,0.7653549,0.746048592
FLRT3,0.693620745,0.824051532
BOK,0.980069312,0.985412937
BHLHE40,0.27370678,0.276831057
VAT1,0.376324598,0.451149716
TOX,0.693047276,0.70549336
TRIM13,0.343415346,0.400192517
EFNA2,0.593993793,0.527434101
MED8,3.58E-06,0.006266378
ASPHD1,0.008573004,0.083979168
EVI5,0.650967828,0.596078874
SNCG,0.000614386,0.047850868
SLC6A15,0.761174197,0.774329215
THAP2,0.091442062,0.140035117
HYPK,0.031438798,0.028053991
SOX8,0.393058774,0.280062223
PSME1,4.39E-05,0.000923642
CCNI,0.762673283,0.774554003
NECAB2,0.012141603,0.020541258
TMPO,0.093032242,0.104618111
RPS5,0.004955374,0.003144801
ZNF704,0.54367899,0.53794873
PLCG1,0.776119357,0.775199534
PPP2R4,0.20900039,0.181308437
SNORA22,0.247870496,0.327380585
CABLES2,0.723091466,0.676332685
NANS,0.018247212,0.035683066
HECA,0.562429739,0.552164444
SCG5,1,1
PCDHB15,3.05E-06,0.001184302
ACYP1,0.044586305,0.04118089
CNTN2,0.701892485,0.733827076
PQBP1,0.434687281,0.426626774
PDIA5,0.262187954,0.225901548
MMP17,0.830147163,0.830919919
GPR153,0.972507078,0.923498151
HNRNPA1L2,0.068643368,0.026897734
ETHE1,2.09E-12,0.607300256
PRKCE,0.084702256,0.222392786
FAM118A,0.175371728,0.152516225
MSH3,0.010456695,0.00707698
NIT2,0.271458514,0.219349821
ARF4,0.559696388,0.566756704
SATB1,0.117529488,0.136392363
ANKRD36B,0.867380691,0.857188944
BCRP2,0.059396637,0.09194932
RMDN3,0.988622176,1
RNF144A,0.904417169,0.897151649
BCHE,0.541276078,0.54328833
TUBG2,0.783322273,0.774911852
PGM3,0.204891272,0.185214228
TMEM246,0.386748271,0.613506783
TUBA1B,0.799361931,0.807797858
BLVRA,0.831941631,0.846833305
HERC2P9,0.486805405,0.50782943
SEMA6B,0.583352018,0.597500745
KLF13,0.433911489,0.455740269
GBA2,0.2502242,0.286083453
MUT,0.100216924,0.138405313
SRPRB,0.015071757,0.01342341
CBR1,0.110569091,0.170712989
COG5,0.19156602,0.117517447
PNPLA4,0.063095701,0.097140726
BLZF1,0.885426985,0.887038625
STAT1,1,1
PRPS2,0.74439065,0.780682259
HES5,0.452893561,0.482181382
PIGH,0.628998733,0.572850633
PCDHGC4,0.069498494,0.10251826
SNORA49,0.53852663,0.531027155
CSRNP3,0.381775812,0.402110706
RPS6KA3,0.068379671,0.056814375
MTMR10,0.603987487,0.526311059
NKAIN1,0.053571455,0.058384357
PARL,0.353449537,0.326988028
IFT20,0.032605019,0.102040303
NDRG1,0.68399219,0.684311245
ATP1A3,0.791380506,0.784520375
SREBF2,0.300676162,0.329814163
ZBTB46,0.44016837,0.598283194
EMC4,0.441237371,0.45585983
GPR137B,0.000691105,0.017947912
MTHFD1L,0.00222676,0.041350354
ZNF280C,0.009618587,0.002106913
ME3,0.140881741,0.373372034
TMED3,1.15E-12,0.000931682
GRB10,3.29E-07,0.104086946
YPEL1,0.851386405,0.84199265
ZNF350,0.491042459,0.549333915
EDEM1,0.058003824,0.075656583
PMM2,0.534987875,0.587041551
LINC00504,0.438258467,0.48735097
CDON,0.511543369,0.423819628
ECE2,0.954297069,0.953744093
POLR2G,0.111714423,0.16624446
RASGEF1B,1.06E-07,0.000758128
TMEM132A,0.005713873,0.036001976
F2R,0.02795465,0.063373919
SYT7,0.839923598,0.911512562
INA,0.137936422,0.179738853
SEC61A1,0.702889142,0.722406564
PGM2L1,0.922926837,0.927737085
LOC653513,0.390746713,0.362680453
ALG5,0.88540045,0.870930576
ZNF358,0.714804932,0.670722327
CENPW,0.713588313,0.750221783
CD44,2.54E-95,0.056499356
NGFR,0.745770437,0.71807973
FUNDC1,0.450578611,0.383603048
ACP1,0.072583015,0.124666862
TIMM23B,0.728083434,0.733966425
PLEKHB1,0.005731928,0.034807228
UFL1,0.40351624,0.394305164
LOC100129434,0.250135995,0.223988823
GGCT,0.790501964,0.768879112
S1PR1,0.08718097,0.234766555
MIR22HG,0.854922868,0.847793124
AMIGO1,0.004046965,0.022856576
ERV3-1,0.794270603,0.777043195
C19orf26,0.585941458,0.664963809
TUBB2B,0.960376042,0.958676566
GCNT1,0.109917401,0.122979944
AES,0.390696649,0.420133333
CLINT1,0.422202039,0.35764869
CNRIP1,0.039377734,0.082990299
ATP2B4,0.857646902,0.856734618
GNG3,0.726343669,0.755751004
N4BP3,0.05573407,0.120317403
TUBB3,0.935133743,0.93449651
CLIP3,0.513292857,0.49135092
ABR,0.577076386,0.585321208
RPF2,1,1
H2AFY2,0.001112537,0.02074374
TACSTD2,0.904048342,0.918050242
SEC23IP,0.22144477,0.237877291
SRP68,0.495573493,0.409778666
PRDX2,0.000102372,0.077047438
NEFL,0.425240702,0.466583295
URB1,0.275380864,0.272234133
XKR4,0.870179504,0.892046359
MIR100HG,0.3042136,0.328252724
RFTN2,0.30492226,0.324056695
NDNL2,0.676726811,0.664060234
UGDH-AS1,0.018483694,0.03021652
FAM222A,0.263047187,0.243108196
