Short Gene name,p_value w/o covariate,p_value w/ covariate
HERC2,0.463542091,0.473153523
RPS14,0.031524788,0.05101655
PCDHGB6,1,1
TUBGCP5,0.296293562,0.258335649
RSPO3,0.031274309,0.058702381
CYFIP1,0.417461663,0.473126268
NIPA2,0.287609632,0.277985467
ELAVL2,0.705549463,0.708815015
UBE3A,0.113491947,0.146598205
SNHG5,0.843731,0.839979188
CTNNA2,0.891070566,0.882351933
NAP1L5,0.795029699,0.777174473
MYL6B,0.80948488,0.796914965
FLRT3,0.012601622,0.111513778
BOK,0.845880097,0.850134331
BHLHE40,0.871466356,0.851817622
VAT1,0.292675586,0.294535509
TOX,0.452917081,0.472817076
TRIM13,0.155893887,0.186019076
EFNA2,0.834752193,0.804021868
MED8,0.643031925,0.740095379
ASPHD1,0.00097616,0.022327249
EVI5,0.688949366,0.654446838
SNCG,0.083793045,0.232036082
SLC6A15,0.703044705,0.704652347
THAP2,0.618665284,0.625623846
HYPK,0.377835945,0.377252962
SOX8,0.984154611,0.974511659
PSME1,0.447256984,0.421110089
CCNI,0.534737386,0.564905952
NECAB2,0.291152234,0.251925407
TMPO,0.920144755,0.908500219
RPS5,0.036175594,0.035594855
ZNF704,0.985533516,0.981760926
PLCG1,0.83689484,0.834101352
PPP2R4,0.518392489,0.475747638
SNORA22,0.787406618,0.793344593
CABLES2,0.944231109,0.945034639
NANS,0.74728621,0.737648413
HECA,1,1
SCG5,0.678578905,0.675627539
PCDHB15,0.005757006,0.100291927
ACYP1,0.775219024,0.796398717
CNTN2,0.753228386,0.763386345
PQBP1,0.298312381,0.26911489
PDIA5,0.725214348,0.725656844
MMP17,0.648942089,0.625338607
GPR153,0.872562237,0.850034451
HNRNPA1L2,0.979862382,0.983793851
ETHE1,7.65E-58,0.210115459
PRKCE,1.10E-05,0.002901396
FAM118A,0.161794883,0.157129944
MSH3,0.374868833,0.372979528
NIT2,0.485912313,0.437932381
ARF4,0.217227309,0.214275944
SATB1,0.302944281,0.314373483
ANKRD36B,0.752598044,0.732237851
BCRP2,0.260757355,0.254160651
RMDN3,0.845196691,0.840985167
RNF144A,0.931732471,0.947688436
BCHE,0.968185802,0.968413004
TUBG2,0.729821359,0.722042463
PGM3,0.328399642,0.279253003
TMEM246,0.009621598,0.159536001
TUBA1B,1,1
BLVRA,0.398396939,0.432508659
HERC2P9,0.432826947,0.4717835
SEMA6B,0.371441004,0.390304101
KLF13,0.540742848,0.554142366
GBA2,0.188081151,0.174774988
MUT,0.666511929,0.685435453
SRPRB,0.379732267,0.368479488
CBR1,0.564622975,0.59741497
COG5,0.68129423,0.648706959
PNPLA4,0.754896067,0.742103315
BLZF1,0.572266957,0.560605613
STAT1,0.860377681,0.852124121
PRPS2,0.563841177,0.637585162
HES5,0.464341745,0.466826987
PIGH,0.547008541,0.49386605
PCDHGC4,0.39810996,0.389412012
SNORA49,1,0.990481886
CSRNP3,0.645116577,0.635648476
RPS6KA3,0.311555045,0.332705359
MTMR10,0.335871519,0.300854849
NKAIN1,0.332172842,0.327947803
PARL,0.087252703,0.111290987
IFT20,0.578875113,0.624079753
NDRG1,0.06704665,0.093080299
ATP1A3,0.713179621,0.717223211
SREBF2,0.140370242,0.241182884
ZBTB46,0.290408878,0.43733344
EMC4,0.456743907,0.457385672
GPR137B,0.857842972,0.854607736
MTHFD1L,0.901415423,0.916168791
ZNF280C,0.670691942,0.641678919
ME3,0.326757146,0.489050289
TMED3,0.000727443,0.009478586
GRB10,4.42E-06,0.033160508
YPEL1,0.964735288,0.986863913
ZNF350,0.518699024,0.539035342
EDEM1,0.768379114,0.797236027
PMM2,0.358538101,0.433824932
LINC00504,0.963125144,0.963127217
CDON,0.897855825,0.922640857
ECE2,0.886456812,0.861040501
POLR2G,0.74855262,0.766841717
RASGEF1B,0.205246711,0.396936827
TMEM132A,0.002371836,0.038759115
F2R,0.198464839,0.230193627
SYT7,1,1
INA,0.150590632,0.113332565
SEC61A1,0.80425068,0.79280357
PGM2L1,0.536430448,0.548649494
LOC653513,0.612149917,0.578957832
ALG5,0.403480909,0.342214196
ZNF358,0.511813215,0.49138291
CENPW,0.981245642,0.978994096
CD44,2.51E-57,0.253254949
NGFR,0.914110389,0.91192096
FUNDC1,0.9525442,0.952892534
ACP1,0.090921593,0.102707285
TIMM23B,0.741233263,0.749350544
PLEKHB1,0.234401488,0.233955684
UFL1,0.382466367,0.345729473
LOC100129434,0.341859311,0.336499356
GGCT,1,1
S1PR1,0.608550516,0.66086343
MIR22HG,0.037520288,0.040646985
AMIGO1,0.153713815,0.159434791
ERV3-1,0.682796627,0.655222714
C19orf26,0.776604321,0.804587094
